# frankensim Level-B cross-code reference manifest v1
# generated by tools/vvref/solve_skfem.py (pinned by tools/vvref/uv.lock)
# columns: kind	case_id	field...	value
spec_echo	thermal-b-orthotropic-rotated-v1	bc.cold.target	0.06
spec_echo	thermal-b-orthotropic-rotated-v1	bc.cold.dirichlet.t	300.0
spec_echo	thermal-b-orthotropic-rotated-v1	bc.cooled-top.axis	1.0
spec_echo	thermal-b-orthotropic-rotated-v1	bc.cooled-top.target	0.04
spec_echo	thermal-b-orthotropic-rotated-v1	bc.cooled-top.robin.h	15.0
spec_echo	thermal-b-orthotropic-rotated-v1	bc.cooled-top.robin.t_inf	290.0
probe	thermal-b-orthotropic-rotated-v1	0	3	2	2	0.03	0.02	0.02	309.89279952020996
probe	thermal-b-orthotropic-rotated-v1	1	1	1	3	0.01	0.01	0.03	316.32985618893673
probe	thermal-b-orthotropic-rotated-v1	2	5	3	1	0.05	0.03	0.01	303.5590330662962
probe	thermal-b-orthotropic-rotated-v1	3	3	0	0	0.03	0.0	0.0	305.296279612131
probe	thermal-b-orthotropic-rotated-v1	4	2	4	2	0.02	0.04	0.02	317.19785180420274
case_meta	thermal-b-kt-nonlinear-slab-v1	deck_blake3	b47272077d6ee0c029cf9317ab88e25ea1965916dc03eab250f3b52de2b1db1b
case_meta	thermal-b-kt-nonlinear-slab-v1	external_code	scikit-fem 11.0.0
case_meta	thermal-b-kt-nonlinear-slab-v1	linear_solver	scipy 1.16.0 spsolve/SuperLU
case_meta	thermal-b-kt-nonlinear-slab-v1	mesh_blake3	810d473e4ad967f0c77ed2bd2a4ead2eac56b03b2313b7e0b6321f6c4d37d4c4
case_meta	thermal-b-kt-nonlinear-slab-v1	numpy	2.3.1
case_meta	thermal-b-kt-nonlinear-slab-v1	picard_iterations	7
case_meta	thermal-b-kt-nonlinear-slab-v1	platform	arm64
case_meta	thermal-b-kt-nonlinear-slab-v1	python	3.12.12
case_meta	thermal-b-kt-nonlinear-slab-v1	self_check	pass
case_meta	thermal-b-kt-nonlinear-slab-v1	t_max_k	450.0
case_meta	thermal-b-kt-nonlinear-slab-v1	t_min_k	433.0105959742522
spec_echo	thermal-b-kt-nonlinear-slab-v1	mesh.counts.x	10.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	mesh.extent.x	0.05
spec_echo	thermal-b-kt-nonlinear-slab-v1	mesh.counts.y	4.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	mesh.extent.y	0.02
spec_echo	thermal-b-kt-nonlinear-slab-v1	mesh.counts.z	4.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	mesh.extent.z	0.02
spec_echo	thermal-b-kt-nonlinear-slab-v1	material.linear_kt.knot0.t	250.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	material.linear_kt.knot0.k	8.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	material.linear_kt.knot1.t	500.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	material.linear_kt.knot1.k	18.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	picard.tol	1e-13
spec_echo	thermal-b-kt-nonlinear-slab-v1	picard.max_iterations	60.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	bc.hot.axis	0.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	bc.hot.target	0.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	bc.hot.dirichlet.t	450.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	bc.cooled.axis	0.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	bc.cooled.target	0.05
spec_echo	thermal-b-kt-nonlinear-slab-v1	bc.cooled.robin.h	40.0
spec_echo	thermal-b-kt-nonlinear-slab-v1	bc.cooled.robin.t_inf	300.0
probe	thermal-b-kt-nonlinear-slab-v1	0	5	2	2	0.025	0.01	0.01	441.59847410601515
probe	thermal-b-kt-nonlinear-slab-v1	1	10	2	2	0.05	0.01	0.01	433.01270322556957
probe	thermal-b-kt-nonlinear-slab-v1	2	2	1	1	0.01	0.005	0.005	446.6607486966255
probe	thermal-b-kt-nonlinear-slab-v1	3	8	3	0	0.04	0.015	0.0	436.46984278587723
probe	thermal-b-kt-nonlinear-slab-v1	4	10	0	0	0.05	0.0	0.0	433.0105959742522
case_meta	thermal-b-fin-film-v1	deck_blake3	547e9f4bd2fbf2534a2316fbf2d69b67b78eb158fe51a4ff997719b486bc0488
case_meta	thermal-b-fin-film-v1	external_code	scikit-fem 11.0.0
case_meta	thermal-b-fin-film-v1	linear_solver	scipy 1.16.0 spsolve/SuperLU
case_meta	thermal-b-fin-film-v1	mesh_blake3	ffa39d5d5a5fa42b2c189e10d43f1bf9d84d19dd86ac52033626621302a2375f
case_meta	thermal-b-fin-film-v1	numpy	2.3.1
case_meta	thermal-b-fin-film-v1	picard_iterations	1
case_meta	thermal-b-fin-film-v1	platform	arm64
case_meta	thermal-b-fin-film-v1	python	3.12.12
case_meta	thermal-b-fin-film-v1	self_check	pass
case_meta	thermal-b-fin-film-v1	t_max_k	350.0
case_meta	thermal-b-fin-film-v1	t_min_k	340.0647563241012
spec_echo	thermal-b-fin-film-v1	mesh.counts.x	16.0
spec_echo	thermal-b-fin-film-v1	mesh.extent.x	0.04
spec_echo	thermal-b-fin-film-v1	mesh.counts.y	2.0
spec_echo	thermal-b-fin-film-v1	mesh.extent.y	0.004
spec_echo	thermal-b-fin-film-v1	mesh.counts.z	4.0
spec_echo	thermal-b-fin-film-v1	mesh.extent.z	0.01
spec_echo	thermal-b-fin-film-v1	material.isotropic.k	170.0
spec_echo	thermal-b-fin-film-v1	bc.base.axis	0.0
spec_echo	thermal-b-fin-film-v1	bc.base.target	0.0
spec_echo	thermal-b-fin-film-v1	bc.base.dirichlet.t	350.0
spec_echo	thermal-b-fin-film-v1	bc.tip.axis	0.0
spec_echo	thermal-b-fin-film-v1	bc.tip.target	0.04
spec_echo	thermal-b-fin-film-v1	bc.tip.robin.h	60.0
spec_echo	thermal-b-fin-film-v1	bc.tip.robin.t_inf	295.0
spec_echo	thermal-b-fin-film-v1	bc.y-lo.axis	1.0
spec_echo	thermal-b-fin-film-v1	bc.y-lo.target	0.0
spec_echo	thermal-b-fin-film-v1	bc.y-lo.robin.h	60.0
spec_echo	thermal-b-fin-film-v1	bc.y-lo.robin.t_inf	295.0
spec_echo	thermal-b-fin-film-v1	bc.y-hi.axis	1.0
spec_echo	thermal-b-fin-film-v1	bc.y-hi.target	0.004
spec_echo	thermal-b-fin-film-v1	bc.y-hi.robin.h	60.0
spec_echo	thermal-b-fin-film-v1	bc.y-hi.robin.t_inf	295.0
spec_echo	thermal-b-fin-film-v1	bc.z-lo.axis	2.0
spec_echo	thermal-b-fin-film-v1	bc.z-lo.target	0.0
